agent_id,agent_name,risk,control,control_type,human_owner,evidence,frequency,escalation_trigger
AGT-07,Approval Agent,Incorrect automated decision,Mandatory human approval for actions above Level 1,Preventive,AP Manager,Approval log + audit trail,Per transaction,Unapproved action attempted
AGT-07,Approval Agent,Data privacy breach,Least-privilege data access; PII masking,Preventive,IT Security / AP Manager,Access review records,Quarterly,Unauthorized data access detected
AGT-07,Approval Agent,Model drift / accuracy degradation,Performance monitoring against KPI thresholds,Detective,AP Manager,Performance scorecard,Weekly,KPI below threshold for 2 consecutive periods
AGT-08,Supplier Resolution Agent,Incorrect automated decision,Mandatory human approval for actions above Level 1,Preventive,AP Team Lead,Approval log + audit trail,Per transaction,Unapproved action attempted
AGT-08,Supplier Resolution Agent,Data privacy breach,Least-privilege data access; PII masking,Preventive,IT Security / AP Team Lead,Access review records,Quarterly,Unauthorized data access detected
AGT-08,Supplier Resolution Agent,Model drift / accuracy degradation,Performance monitoring against KPI thresholds,Detective,AP Team Lead,Performance scorecard,Weekly,KPI below threshold for 2 consecutive periods
AGT-09,Internal Follow-Up Agent,Incorrect automated decision,Mandatory human approval for actions above Level 1,Preventive,AP Operations Lead,Approval log + audit trail,Per transaction,Unapproved action attempted
AGT-09,Internal Follow-Up Agent,Data privacy breach,Least-privilege data access; PII masking,Preventive,IT Security / AP Operations Lead,Access review records,Quarterly,Unauthorized data access detected
AGT-09,Internal Follow-Up Agent,Model drift / accuracy degradation,Performance monitoring against KPI thresholds,Detective,AP Operations Lead,Performance scorecard,Weekly,KPI below threshold for 2 consecutive periods
AGT-10,Duplicate & Anomaly Agent,Incorrect automated decision,Mandatory human approval for actions above Level 1,Preventive,AP Manager / Internal Audit liaison,Approval log + audit trail,Per transaction,Unapproved action attempted
AGT-10,Duplicate & Anomaly Agent,Data privacy breach,Least-privilege data access; PII masking,Preventive,IT Security / AP Manager / Internal Audit liaison,Access review records,Quarterly,Unauthorized data access detected
AGT-10,Duplicate & Anomaly Agent,Model drift / accuracy degradation,Performance monitoring against KPI thresholds,Detective,AP Manager / Internal Audit liaison,Performance scorecard,Weekly,KPI below threshold for 2 consecutive periods
AGT-11,Vendor Statement Reconciliation Agent,Incorrect automated decision,Mandatory human approval for actions above Level 1,Preventive,AP Reconciliation Lead,Approval log + audit trail,Per transaction,Unapproved action attempted
AGT-11,Vendor Statement Reconciliation Agent,Data privacy breach,Least-privilege data access; PII masking,Preventive,IT Security / AP Reconciliation Lead,Access review records,Quarterly,Unauthorized data access detected
AGT-11,Vendor Statement Reconciliation Agent,Model drift / accuracy degradation,Performance monitoring against KPI thresholds,Detective,AP Reconciliation Lead,Performance scorecard,Weekly,KPI below threshold for 2 consecutive periods
AGT-12,Payment Proposal Review Agent,Incorrect automated decision,Mandatory human approval for actions above Level 1,Preventive,Treasury / AP Manager,Approval log + audit trail,Per transaction,Unapproved action attempted
AGT-12,Payment Proposal Review Agent,Data privacy breach,Least-privilege data access; PII masking,Preventive,IT Security / Treasury / AP Manager,Access review records,Quarterly,Unauthorized data access detected
AGT-12,Payment Proposal Review Agent,Model drift / accuracy degradation,Performance monitoring against KPI thresholds,Detective,Treasury / AP Manager,Performance scorecard,Weekly,KPI below threshold for 2 consecutive periods
AGT-13,AP Close Agent,Incorrect automated decision,Mandatory human approval for actions above Level 1,Preventive,AP Manager / Controller,Approval log + audit trail,Per transaction,Unapproved action attempted
AGT-13,AP Close Agent,Data privacy breach,Least-privilege data access; PII masking,Preventive,IT Security / AP Manager / Controller,Access review records,Quarterly,Unauthorized data access detected
AGT-13,AP Close Agent,Model drift / accuracy degradation,Performance monitoring against KPI thresholds,Detective,AP Manager / Controller,Performance scorecard,Weekly,KPI below threshold for 2 consecutive periods
AGT-14,AP Reporting Agent,Incorrect automated decision,Mandatory human approval for actions above Level 1,Preventive,AP Manager,Approval log + audit trail,Per transaction,Unapproved action attempted
AGT-14,AP Reporting Agent,Data privacy breach,Least-privilege data access; PII masking,Preventive,IT Security / AP Manager,Access review records,Quarterly,Unauthorized data access detected
AGT-14,AP Reporting Agent,Model drift / accuracy degradation,Performance monitoring against KPI thresholds,Detective,AP Manager,Performance scorecard,Weekly,KPI below threshold for 2 consecutive periods
AGT-15,Root Cause Agent,Incorrect automated decision,Mandatory human approval for actions above Level 1,Preventive,Process Excellence / AP Manager,Approval log + audit trail,Per transaction,Unapproved action attempted
AGT-15,Root Cause Agent,Data privacy breach,Least-privilege data access; PII masking,Preventive,IT Security / Process Excellence / AP Manager,Access review records,Quarterly,Unauthorized data access detected
AGT-15,Root Cause Agent,Model drift / accuracy degradation,Performance monitoring against KPI thresholds,Detective,Process Excellence / AP Manager,Performance scorecard,Weekly,KPI below threshold for 2 consecutive periods
AGT-16,AP Manager / Orchestrator Agent,Incorrect automated decision,Mandatory human approval for actions above Level 1,Preventive,Head of AP / Finance Transformation,Approval log + audit trail,Per transaction,Unapproved action attempted
AGT-16,AP Manager / Orchestrator Agent,Data privacy breach,Least-privilege data access; PII masking,Preventive,IT Security / Head of AP / Finance Transformation,Access review records,Quarterly,Unauthorized data access detected
AGT-16,AP Manager / Orchestrator Agent,Model drift / accuracy degradation,Performance monitoring against KPI thresholds,Detective,Head of AP / Finance Transformation,Performance scorecard,Weekly,KPI below threshold for 2 consecutive periods
