invoice_no,invoice_date,customer_id,sku,quantity,list_price,net_sales,branch,rep_id,freight_charged
INV-100072,2024-10-09,C-419,SKU-00016,5,574.00,81.45,Brisbane,R-19,29.53
INV-100073,2025-03-22,C-132,SKU-00037,21,831.00,75.81,Newcastle,R-01,37.27
INV-100074,2025-08-01,C-215,SKU-00016,19,574.00,77.33,Newcastle,R-07,30.89
INV-100075,2025-11-25,C-148,SKU-00034,12,214.00,79.32,Melbourne,R-12,17.89
INV-100076,2025-08-15,C-217,SKU-00017,2,69.00,88.74,Newcastle,R-24,10.70
INV-100077,2024-03-02,C-286,SKU-00047,12,371.00,70.56,Brisbane,R-08,8.92
INV-100078,2025-10-22,C-098,SKU-00040,21,257.00,78.54,Adelaide,R-02,4.56
INV-100079,2025-10-14,C-161,SKU-00012,18,822.00,90.72,Perth,R-15,10.95
INV-100080,2025-07-28,C-078,SKU-00012,10,822.00,74.98,Newcastle,R-02,8.73
INV-100081,2025-08-01,C-274,SKU-00010,22,27.00,73.26,Newcastle,R-03,29.24
INV-100082,2024-03-05,C-352,SKU-00055,8,703.00,74.48,Melbourne,R-12,3.95
INV-100083,2025-05-04,C-204,SKU-00014,5,632.00,72.25,Perth,R-10,43.22
INV-100084,2024-04-04,C-230,SKU-00031,17,336.00,73.44,Melbourne,R-05,28.58
INV-100085,2025-08-25,C-136,SKU-00046,6,711.00,82.92,Sydney,R-06,44.02
INV-100086,2025-12-09,C-391,SKU-00015,19,332.00,85.12,Sydney,R-06,4.20
INV-100087,2025-12-24,C-020,SKU-00006,3,428.00,82.50,Perth,R-22,41.50
INV-100088,2025-04-16,C-224,SKU-00007,16,284.00,72.00,Sydney,R-10,29.23
INV-100089,2024-04-11,C-031,SKU-00034,8,214.00,75.36,Newcastle,R-05,38.64
INV-100090,2024-02-01,C-105,SKU-00057,15,143.00,81.56,Sydney,R-02,36.09
INV-100091,2025-12-19,C-127,SKU-00001,18,569.00,77.04,Perth,R-22,8.92
INV-100092,2025-03-28,C-020,SKU-00014,20,632.00,71.20,Perth,R-10,9.71
INV-100093,2025-06-28,C-283,SKU-00030,13,439.00,73.84,Brisbane,R-03,6.90
INV-100094,2024-10-04,C-260,SKU-00058,3,513.00,74.28,Sydney,R-01,9.38
INV-100095,2024-06-21,C-029,SKU-00038,8,427.00,79.12,Adelaide,R-16,33.05
INV-100096,2025-12-16,C-188,SKU-00040,9,257.00,74.25,Perth,R-11,31.65
INV-100097,2025-10-27,C-268,SKU-00007,8,284.00,74.88,Newcastle,R-13,23.81
INV-100098,2024-09-15,C-331,SKU-00057,8,143.00,75.84,Adelaide,R-11,37.68
INV-100099,2025-11-17,C-304,SKU-00018,15,268.00,74.70,Melbourne,R-16,0.53
INV-100100,2024-02-27,C-157,SKU-00015,17,332.00,76.32,Sydney,R-13,10.14
INV-100101,2025-10-24,C-319,SKU-00050,6,201.00,84.78,Perth,R-10,30.79
INV-100102,2025-12-24,C-102,SKU-00057,11,143.00,76.89,Adelaide,R-06,22.37
INV-100103,2024-01-12,C-248,SKU-00049,2,840.00,76.86,Newcastle,R-17,14.68
INV-100104,2024-03-14,C-118,SKU-00044,5,183.00,82.55,Brisbane,R-25,0.06
INV-100105,2024-07-17,C-314,SKU-00018,11,268.00,77.55,Newcastle,R-23,0.45
INV-100106,2024-02-08,C-365,SKU-00020,7,702.00,74.06,Adelaide,R-23,10.77
INV-100107,2025-04-14,C-182,SKU-00052,22,834.00,80.08,Perth,R-23,27.16
INV-100108,2024-04-21,C-391,SKU-00008,2,232.00,78.94,Sydney,R-11,43.07
INV-100109,2025-03-11,C-367,SKU-00002,3,592.00,83.46,Melbourne,R-02,23.62
INV-100110,2025-03-27,C-214,SKU-00050,8,201.00,75.88,Perth,R-23,35.75
INV-100111,2025-05-23,C-335,SKU-00043,13,320.00,84.63,Brisbane,R-21,21.99
INV-100112,2025-02-13,C-319,SKU-00045,20,841.00,76.60,Perth,R-11,11.85
INV-100113,2025-03-10,C-342,SKU-00035,10,571.00,74.90,Melbourne,R-11,17.30
INV-100114,2024-11-27,C-080,SKU-00026,3,405.00,87.12,Newcastle,R-15,21.41
INV-100115,2025-07-20,C-294,SKU-00001,9,569.00,72.72,Melbourne,R-27,28.29
INV-100116,2024-07-09,C-363,SKU-00039,15,204.00,83.10,Perth,R-14,21.96
INV-100117,2024-02-24,C-358,SKU-00056,8,481.00,81.60,Melbourne,R-23,0.60
INV-100118,2025-05-08,C-264,SKU-00031,11,336.00,71.61,Brisbane,R-28,8.01
INV-100119,2024-12-09,C-278,SKU-00027,11,107.00,79.42,Melbourne,R-22,8.56
INV-100120,2024-01-06,C-128,SKU-00047,5,371.00,70.66,Newcastle,R-14,18.03
INV-100121,2024-02-28,C-080,SKU-00005,18,643.00,73.80,Newcastle,R-05,26.18
INV-100122,2025-01-24,C-382,SKU-00056,23,481.00,72.68,Newcastle,R-14,39.60
INV-100123,2025-12-20,C-086,SKU-00034,9,214.00,70.29,Perth,R-02,12.86
INV-100124,2025-09-26,C-262,SKU-00053,2,589.00,80.04,Adelaide,R-04,33.36
INV-100125,2024-02-20,C-412,SKU-00029,19,291.00,84.17,Newcastle,R-27,30.51
INV-100126,2024-09-17,C-162,SKU-00023,3,115.00,77.04,Perth,R-17,16.57
INV-100127,2025-04-12,C-094,SKU-00013,13,52.00,71.24,Adelaide,R-08,36.21
INV-100128,2024-06-14,C-387,SKU-00008,11,232.00,73.92,Sydney,R-16,14.09
INV-100129,2024-08-04,C-171,SKU-00021,20,453.00,71.00,Sydney,R-22,22.03
INV-100130,2025-03-24,C-224,SKU-00036,4,224.00,77.50,Sydney,R-17,41.62
INV-100131,2024-11-18,C-354,SKU-00025,19,345.00,70.49,Perth,R-12,15.47
INV-100132,2025-01-12,C-171,SKU-00025,14,345.00,81.34,Sydney,R-09,35.22
INV-100133,2024-05-26,C-047,SKU-00018,6,268.00,89.40,Perth,R-07,43.47
INV-100134,2025-11-12,C-415,SKU-00042,8,292.00,83.04,Melbourne,R-03,35.59
INV-100135,2024-01-09,C-169,SKU-00048,4,553.00,79.52,Melbourne,R-19,42.00
INV-100136,2025-04-05,C-271,SKU-00029,8,291.00,71.04,Brisbane,R-14,2.35
INV-100137,2025-09-06,C-023,SKU-00054,11,714.00,70.73,Perth,R-23,38.90
INV-100138,2025-12-22,C-030,SKU-00038,2,427.00,76.22,Brisbane,R-16,38.64
INV-100139,2024-11-23,C-241,SKU-00022,16,477.00,84.32,Newcastle,R-01,41.12
INV-100140,2024-09-22,C-153,SKU-00023,19,115.00,76.91,Perth,R-07,18.85
INV-100141,2024-05-02,C-209,SKU-00031,8,336.00,87.20,Newcastle,R-04,4.64
INV-100142,2025-08-24,C-045,SKU-00043,15,320.00,81.00,Newcastle,R-22,7.63
INV-100143,2024-03-13,C-227,SKU-00015,11,332.00,77.00,Adelaide,R-20,3.70
INV-100144,2024-02-07,C-251,SKU-00015,22,332.00,72.82,Perth,R-23,20.71
INV-100145,2024-06-23,C-032,SKU-00052,11,834.00,75.68,Brisbane,R-10,23.32
INV-100146,2024-07-18,C-318,SKU-00017,15,69.00,73.65,Adelaide,R-11,28.29
INV-100147,2024-09-15,C-254,SKU-00019,11,357.00,71.06,Sydney,R-14,3.19
INV-100148,2024-01-06,C-302,SKU-00021,18,453.00,73.44,Adelaide,R-01,32.38
INV-100149,2025-11-26,C-029,SKU-00005,23,643.00,80.27,Adelaide,R-08,2.82
INV-100150,2024-10-20,C-075,SKU-00011,13,62.00,66.62,Brisbane,R-10,2.61
INV-100151,2024-01-01,C-398,SKU-00026,24,405.00,83.76,Adelaide,R-20,38.09
INV-100152,2025-08-12,C-258,SKU-00055,16,703.00,76.64,Perth,R-01,38.23
INV-100153,2024-03-05,C-181,SKU-00043,15,320.00,84.45,Perth,R-17,10.02
INV-100154,2024-10-21,C-228,SKU-00046,4,711.00,70.40,Perth,R-21,29.89
INV-100155,2025-02-03,C-172,SKU-00007,17,284.00,72.08,Newcastle,R-14,37.02
INV-100156,2025-06-03,C-280,SKU-00049,23,840.00,74.29,Newcastle,R-13,18.90
INV-100157,2024-05-10,C-093,SKU-00057,13,143.00,71.50,Perth,R-17,29.67
INV-100158,2024-08-03,C-289,SKU-00006,24,428.00,79.92,Perth,R-14,18.60
INV-100159,2025-01-08,C-039,SKU-00047,16,371.00,76.00,Perth,R-11,40.21
INV-100160,2025-01-09,C-064,SKU-00039,11,204.00,75.90,Newcastle,R-04,29.35
INV-100161,2025-02-27,C-230,SKU-00034,14,214.00,86.52,Melbourne,R-06,8.19
INV-100162,2025-11-08,C-144,SKU-00056,15,481.00,79.65,Newcastle,R-18,17.93
INV-100163,2024-09-18,C-207,SKU-00047,6,371.00,86.28,Melbourne,R-20,20.05
INV-100164,2025-01-17,C-212,SKU-00023,1,115.00,79.22,Perth,R-02,13.62
INV-100165,2024-02-15,C-144,SKU-00026,12,405.00,75.84,Newcastle,R-21,3.60
INV-100166,2025-10-27,C-157,SKU-00002,12,592.00,71.04,Sydney,R-11,34.65
INV-100167,2024-06-07,C-372,SKU-00037,23,831.00,77.28,Melbourne,R-22,18.83
INV-100168,2024-09-12,C-301,SKU-00004,18,340.00,90.54,Melbourne,R-08,37.63
INV-100169,2024-01-25,C-078,SKU-00027,19,107.00,72.20,Newcastle,R-07,38.00
INV-100170,2025-10-16,C-247,SKU-00057,8,143.00,76.69,Sydney,R-09,0.91
INV-100171,2025-01-09,C-335,SKU-00019,20,357.00,71.00,Brisbane,R-23,15.42
INV-100172,2025-01-11,C-142,SKU-00035,2,571.00,76.64,Melbourne,R-26,29.77
INV-100173,2025-09-14,C-039,SKU-00034,10,214.00,71.10,Perth,R-07,7.02
INV-100174,2024-02-27,C-288,SKU-00039,5,204.00,85.70,Newcastle,R-09,37.98
INV-100175,2024-10-17,C-283,SKU-00018,5,268.00,82.45,Brisbane,R-09,10.94
INV-100176,2025-08-22,C-225,SKU-00052,6,834.00,89.88,Perth,R-14,26.84
INV-100177,2025-10-17,C-215,SKU-00039,15,204.00,73.20,Newcastle,R-16,34.31
INV-100178,2025-10-05,C-015,SKU-00033,6,111.00,79.74,Sydney,R-20,21.06
INV-100179,2024-07-19,C-073,SKU-00030,6,439.00,71.70,Melbourne,R-03,40.90
INV-100180,2025-06-27,C-153,SKU-00046,13,711.00,65.90,Perth,R-16,6.54
INV-100181,2025-05-24,C-152,SKU-00040,12,257.00,89.40,Melbourne,R-09,3.22
INV-100182,2025-05-28,C-050,SKU-00020,6,702.00,71.82,Newcastle,R-18,37.02
INV-100183,2024-02-22,C-087,SKU-00009,16,761.00,71.52,Melbourne,R-05,33.83
INV-100184,2024-08-11,C-383,SKU-00001,11,569.00,78.54,Perth,R-13,41.66
INV-100185,2024-04-01,C-209,SKU-00044,8,183.00,83.76,Newcastle,R-03,25.49
INV-100186,2024-04-25,C-016,SKU-00012,16,822.00,71.36,Brisbane,R-25,20.62
INV-100187,2025-12-14,C-298,SKU-00019,15,357.00,77.70,Perth,R-16,39.83
INV-100188,2025-02-02,C-118,SKU-00051,19,246.00,71.25,Brisbane,R-02,40.06
INV-100189,2025-02-05,C-301,SKU-00037,21,831.00,90.51,Melbourne,R-18,27.06
INV-100190,2024-06-20,C-201,SKU-00013,9,52.00,69.55,Perth,R-05,24.32
INV-100191,2025-06-02,C-311,SKU-00052,8,834.00,86.80,Newcastle,R-06,4.75
INV-100192,2025-02-19,C-110,SKU-00016,9,574.00,70.92,Brisbane,R-26,30.66
INV-100193,2025-11-16,C-202,SKU-00030,4,439.00,80.16,Newcastle,R-26,32.48
INV-100194,2025-01-11,C-165,SKU-00028,4,722.00,73.84,Perth,R-03,9.29
INV-100195,2024-03-14,C-161,SKU-00054,11,714.00,76.45,Perth,R-17,31.84
INV-100196,2025-04-27,C-210,SKU-00053,9,589.00,71.82,Adelaide,R-04,14.07
INV-100197,2024-07-07,C-072,SKU-00034,21,214.00,82.74,Perth,R-09,42.18
INV-100198,2024-04-03,C-123,SKU-00027,14,107.00,74.06,Brisbane,R-09,2.19
INV-100199,2024-05-18,C-056,SKU-00048,17,553.00,90.61,Adelaide,R-14,15.89
INV-100200,2024-07-18,C-138,SKU-00049,7,840.00,69.75,Newcastle,R-23,39.84
INV-100201,2024-03-24,C-015,SKU-00017,17,69.00,72.42,Sydney,R-06,25.63
INV-100202,2025-12-10,C-365,SKU-00038,6,427.00,81.54,Adelaide,R-01,26.07
INV-100203,2024-01-11,C-289,SKU-00017,3,69.00,74.10,Perth,R-16,14.07
INV-100204,2025-02-27,C-045,SKU-00009,8,761.00,75.04,Newcastle,R-27,35.60
INV-100205,2024-12-16,C-071,SKU-00018,4,268.00,73.36,Brisbane,R-20,15.16
INV-100206,2025-02-20,C-316,SKU-00041,22,612.00,72.38,Adelaide,R-05,36.24
INV-100207,2024-04-26,C-336,SKU-00017,13,69.00,76.57,Perth,R-27,39.89
INV-100208,2025-03-28,C-409,SKU-00017,13,69.00,88.66,Sydney,R-02,40.93
INV-100209,2024-07-23,C-190,SKU-00013,21,52.00,86.10,Adelaide,R-12,43.72
INV-100210,2025-06-02,C-213,SKU-00005,22,643.00,76.51,Brisbane,R-04,30.07
INV-100211,2024-09-28,C-292,SKU-00013,16,52.00,84.16,Perth,R-24,12.39
INV-100212,2024-10-15,C-170,SKU-00010,15,27.00,81.60,Brisbane,R-16,21.42
INV-100213,2024-09-27,C-324,SKU-00006,13,428.00,76.96,Newcastle,R-26,17.30
INV-100214,2024-12-17,C-342,SKU-00039,24,204.00,79.44,Melbourne,R-03,41.73
INV-100215,2025-11-26,C-064,SKU-00028,20,722.00,78.60,Newcastle,R-21,9.53
INV-100216,2024-11-24,C-081,SKU-00012,11,822.00,79.53,Sydney,R-20,21.51
INV-100217,2024-11-19,C-307,SKU-00048,16,553.00,88.48,Newcastle,R-25,4.33
INV-100218,2025-05-04,C-308,SKU-00058,19,513.00,75.81,Melbourne,R-16,6.93
INV-100219,2025-02-27,C-313,SKU-00055,11,703.00,79.75,Sydney,R-09,11.76
INV-100220,2025-04-08,C-256,SKU-00034,5,214.00,77.74,Sydney,R-11,17.50
INV-100221,2024-05-15,C-414,SKU-00034,15,214.00,85.20,Melbourne,R-19,43.91
INV-100222,2024-02-17,C-372,SKU-00052,3,834.00,78.54,Melbourne,R-14,9.25
INV-100223,2024-05-16,C-244,SKU-00025,22,345.00,85.80,Perth,R-01,38.94
INV-100224,2024-05-08,C-078,SKU-00038,24,427.00,85.20,Newcastle,R-23,20.77
INV-100225,2025-02-26,C-208,SKU-00007,11,284.00,87.56,Perth,R-28,44.85
INV-100226,2025-12-13,C-036,SKU-00042,7,292.00,72.45,Melbourne,R-09,41.63
INV-100227,2024-03-07,C-076,SKU-00018,9,268.00,76.77,Perth,R-28,40.12
INV-100228,2024-09-14,C-131,SKU-00057,12,143.00,85.92,Adelaide,R-13,33.24
INV-100229,2025-12-15,C-261,SKU-00035,22,571.00,79.86,Brisbane,R-22,32.61
INV-100230,2025-05-26,C-310,SKU-00015,20,332.00,73.78,Perth,R-16,35.43
INV-100231,2025-05-22,C-165,SKU-00011,11,62.00,89.43,Perth,R-18,9.22
INV-100232,2025-02-27,C-150,SKU-00040,11,257.00,87.78,Brisbane,R-24,7.56
INV-100233,2024-04-11,C-254,SKU-00017,4,69.00,76.04,Sydney,R-06,21.75
INV-100234,2025-03-09,C-211,SKU-00029,23,291.00,86.94,Newcastle,R-09,17.89
INV-100235,2024-06-11,C-163,SKU-00024,16,208.00,78.24,Newcastle,R-23,22.33
INV-100236,2025-07-03,C-041,SKU-00009,19,761.00,76.57,Adelaide,R-26,25.35
INV-100237,2025-03-09,C-349,SKU-00002,23,592.00,78.66,Sydney,R-13,1.99
INV-100238,2025-09-18,C-045,SKU-00058,2,513.00,83.34,Newcastle,R-03,19.34
INV-100239,2024-12-11,C-104,SKU-00051,12,246.00,81.96,Melbourne,R-14,4.61
INV-100240,2024-02-16,C-160,SKU-00023,15,115.00,68.86,Melbourne,R-28,21.06
INV-100241,2024-04-06,C-142,SKU-00029,6,291.00,90.00,Melbourne,R-27,12.06
INV-100242,2024-10-09,C-014,SKU-00005,7,643.00,72.24,Sydney,R-08,4.49
INV-100243,2025-07-22,C-120,SKU-00038,4,427.00,83.24,Adelaide,R-28,5.56
INV-100244,2025-03-05,C-117,SKU-00040,6,257.00,84.90,Adelaide,R-19,19.39
INV-100245,2024-11-10,C-324,SKU-00038,9,427.00,71.82,Newcastle,R-02,23.74
INV-100246,2024-10-20,C-279,SKU-00025,13,345.00,86.84,Sydney,R-24,40.91
INV-100247,2024-11-08,C-342,SKU-00021,11,453.00,75.68,Melbourne,R-02,1.40
INV-100248,2024-01-24,C-389,SKU-00011,18,62.00,87.30,Perth,R-20,10.27
INV-100249,2024-10-27,C-039,SKU-00012,18,822.00,72.18,Perth,R-20,15.17
INV-100250,2025-04-19,C-319,SKU-00018,12,268.00,72.53,Perth,R-10,8.33
INV-100251,2025-04-01,C-252,SKU-00040,17,257.00,81.26,Brisbane,R-03,19.51
INV-100252,2025-08-16,C-105,SKU-00045,14,841.00,85.40,Sydney,R-26,22.74
INV-100253,2025-11-25,C-346,SKU-00014,15,632.00,70.50,Newcastle,R-17,9.67
INV-100254,2025-02-15,C-091,SKU-00058,4,513.00,81.24,Brisbane,R-15,28.52
INV-100255,2024-07-13,C-109,SKU-00012,1,822.00,88.07,Sydney,R-08,38.54
INV-100256,2025-02-07,C-370,SKU-00034,11,214.00,83.60,Adelaide,R-12,6.95
INV-100257,2025-01-08,C-401,SKU-00047,14,371.00,90.30,Perth,R-07,4.69
INV-100258,2025-05-21,C-132,SKU-00047,1,371.00,87.35,Newcastle,R-05,18.79
INV-100259,2025-02-13,C-048,SKU-00004,20,340.00,80.80,Newcastle,R-22,5.51
INV-100260,2025-06-19,C-265,SKU-00004,19,340.00,69.40,Perth,R-25,17.02
INV-100261,2025-04-13,C-084,SKU-00051,12,246.00,75.96,Perth,R-01,44.31
INV-100262,2025-02-03,C-288,SKU-00054,21,714.00,70.56,Newcastle,R-08,43.73
INV-100263,2025-11-15,C-121,SKU-00039,17,204.00,70.38,Newcastle,R-09,38.31
INV-100264,2025-06-26,C-203,SKU-00030,13,439.00,87.36,Sydney,R-06,33.85
INV-100265,2024-06-11,C-093,SKU-00007,5,284.00,75.40,Perth,R-24,37.25
INV-100266,2025-02-09,C-169,SKU-00009,16,761.00,77.60,Melbourne,R-20,15.94
INV-100267,2024-06-23,C-311,SKU-00007,9,284.00,71.55,Newcastle,R-16,11.63
INV-100268,2025-06-21,C-343,SKU-00045,10,841.00,79.40,Newcastle,R-22,27.96
INV-100269,2024-02-10,C-146,SKU-00006,11,428.00,73.37,Perth,R-02,42.26
INV-100270,2025-11-02,C-412,SKU-00029,6,291.00,65.96,Newcastle,R-01,21.71
INV-100271,2025-10-27,C-338,SKU-00019,16,357.00,78.56,Perth,R-18,24.11
INV-100272,2024-11-19,C-043,SKU-00025,17,345.00,86.70,Brisbane,R-02,37.99
INV-100273,2024-06-01,C-211,SKU-00024,13,208.00,79.30,Newcastle,R-25,5.27
INV-100274,2025-12-03,C-295,SKU-00031,2,336.00,71.08,Perth,R-21,18.86
INV-100275,2024-01-27,C-196,SKU-00016,19,574.00,74.29,Adelaide,R-15,2.54
INV-100276,2024-07-13,C-260,SKU-00008,12,232.00,89.88,Sydney,R-27,2.57
INV-100277,2024-05-17,C-119,SKU-00055,1,703.00,81.42,Perth,R-20,38.19
INV-100278,2025-09-15,C-231,SKU-00008,22,232.00,70.40,Newcastle,R-07,29.06
INV-100279,2024-10-08,C-409,SKU-00054,19,714.00,71.44,Sydney,R-04,43.98
INV-100280,2025-08-09,C-256,SKU-00006,1,428.00,77.94,Sydney,R-05,14.08
INV-100281,2025-09-07,C-338,SKU-00011,18,62.00,77.22,Perth,R-15,35.33
INV-100282,2024-07-10,C-377,SKU-00037,8,831.00,70.80,Newcastle,R-05,33.54
INV-100283,2025-12-23,C-126,SKU-00022,14,477.00,72.52,Perth,R-23,4.28
INV-100284,2025-05-01,C-017,SKU-00010,21,27.00,83.79,Adelaide,R-24,13.58
INV-100285,2025-05-19,C-142,SKU-00030,7,439.00,77.49,Melbourne,R-23,22.75
INV-100286,2024-01-11,C-110,SKU-00050,3,201.00,73.80,Brisbane,R-13,33.97
INV-100287,2025-03-05,C-345,SKU-00027,10,107.00,84.60,Sydney,R-28,0.91
INV-100288,2024-06-21,C-033,SKU-00057,5,143.00,85.35,Adelaide,R-05,23.10
INV-100289,2025-12-19,C-093,SKU-00048,14,553.00,72.24,Perth,R-12,44.50
INV-100290,2024-11-13,C-349,SKU-00012,17,822.00,66.63,Sydney,R-10,4.61
INV-100291,2025-05-13,C-223,SKU-00049,11,840.00,77.00,Sydney,R-08,23.10
INV-100292,2024-03-24,C-163,SKU-00050,6,201.00,84.90,Newcastle,R-24,30.32
