claim_id,claim,figure,unit,source,publisher,date,url,context,independence,use_in_customer_pdf,notes
AP-017,Average AP team processes invoices for under,10,USD,Keys to Driving AP Performance,IOFM,2025,https://s3.divcom.com/www.iofm.com/images/16a6e81d4f4b95aa831ed919d9126ae4.pdf,Payroll plus automation cost / invoice count,independent_association,yes,Directional range not a point estimate
AP-018,Share of automated teams reporting cost per invoice under $5,nearly one-third,,Keys to Driving AP Performance,IOFM,2025,https://s3.divcom.com/www.iofm.com/images/16a6e81d4f4b95aa831ed919d9126ae4.pdf,Among teams using automation,independent_association,selective,
AP-019,Share of fully automated teams with cost per invoice above $20,more than one-quarter,,Keys to Driving AP Performance,IOFM,2025,https://s3.divcom.com/www.iofm.com/images/16a6e81d4f4b95aa831ed919d9126ae4.pdf,Automation without volume can raise unit cost,independent_association,yes,Use to kill 'automation always cheaper' claim
AP-020,CFOs using gen AI for 5+ use cases in 2025,44,percent,How finance teams are putting AI to work today,McKinsey,2025,https://www.mckinsey.com/capabilities/strategy-and-corporate-finance/our-insights/how-finance-teams-are-putting-ai-to-work-today,Proprietary survey of 102 CFOs; prior year 7%,independent_consulting,yes,
AP-021,Organisations increasing gen AI investment in 2025,65,percent,How finance teams are putting AI to work today,McKinsey,2025,https://www.mckinsey.com/capabilities/strategy-and-corporate-finance/our-insights/how-finance-teams-are-putting-ai-to-work-today,Versus about one quarter two years earlier,independent_consulting,yes,
AP-022,Finance teams fully deployed and actively using AI,63,percent,Deloitte Finance Trends 2026 press release,Deloitte US,2026,https://www.deloitte.com/us/en/about/press-room/finance-trends-2026-survey-release.html,Finance Trends 2026 survey,independent_consulting,yes,
AP-023,Finance leaders reporting clear measurable AI ROI,21,percent,Deloitte Finance Trends 2026 press release,Deloitte US,2026,https://www.deloitte.com/us/en/about/press-room/finance-trends-2026-survey-release.html,Adoption-ROI gap is the headline,independent_consulting,yes,Core Evidence Room proof point
AP-024,Respondents using fully integrated AI agents,14,percent,Deloitte Finance Trends 2026 press release,Deloitte US,2026,https://www.deloitte.com/us/en/about/press-room/finance-trends-2026-survey-release.html,Agentic AI still early,independent_consulting,yes,
AP-025,Finance leaders planning to prioritise AI/automation/data skills,64,percent,Deloitte Finance Trends 2026 press release,Deloitte US,2026,https://www.deloitte.com/us/en/about/press-room/finance-trends-2026-survey-release.html,Talent mix shift,independent_consulting,selective,
AP-026,Organisations scaling AI in accounts payable,33,percent,2026 Finance Key Issues Study coverage,The Hackett Group via Business Wire / Morningstar,2026-03,https://www.morningstar.com/news/business-wire/20260319151957/the-hackett-group-study-shows-ai-adoption-rapidly-accelerating-across-core-finance-processes,Hackett: AP is the most mature finance process for AI scale,independent_research,yes,
AP-027,Projected 2026 finance workload vs headcount vs budget,3.2 / -2.1 / -1.7,percent,2026 Finance Key Issues Study coverage,The Hackett Group,2026-03,https://www.morningstar.com/news/business-wire/20260319151957/the-hackett-group-study-shows-ai-adoption-rapidly-accelerating-across-core-finance-processes,Creates a 5.3% productivity gap,independent_research,yes,
AP-028,AI implementation rank among finance priorities,4th vs 16th prior year,,2026 Finance Key Issues Study coverage,The Hackett Group,2026-03,https://www.morningstar.com/news/business-wire/20260319151957/the-hackett-group-study-shows-ai-adoption-rapidly-accelerating-across-core-finance-processes,Priority jump,independent_research,yes,
AP-029,Finance teams already running AI in AP day-to-day,67,percent,From Experimentation to Execution: Governed Autonomy for AI in AP,Forrester Consulting Opportunity Snapshot commissioned by Basware,2026-Q1,https://www.basware.com/en/resources/from-experimentation-to-execution-governed-autonomy-for-ai-in-accounts-payable,n=231 enterprise finance leaders UK/US/FR/DE,vendor_commissioned,no_or_flagged,Do not present as independent Forrester MQ
AP-030,Top AP AI benefit area: invoice data capture,43,percent,Forrester/Basware Opportunity Snapshot,Forrester Consulting / Basware,2026-Q1,https://www.basware.com/en/resources/from-experimentation-to-execution-governed-autonomy-for-ai-in-accounts-payable,Use-case ranking,vendor_commissioned,flagged,
AP-031,Invoice matching as AI benefit area,30,percent,Forrester/Basware Opportunity Snapshot,Forrester Consulting / Basware,2026-Q1,https://www.basware.com/en/resources/from-experimentation-to-execution-governed-autonomy-for-ai-in-accounts-payable,Use-case ranking,vendor_commissioned,flagged,
AP-032,Fraud/risk as AI benefit area,28,percent,Forrester/Basware Opportunity Snapshot,Forrester Consulting / Basware,2026-Q1,https://www.basware.com/en/resources/from-experimentation-to-execution-governed-autonomy-for-ai-in-accounts-payable,Use-case ranking — not a detection guarantee,vendor_commissioned,flagged,
AP-033,Share balancing governance with innovation,46,percent,Forrester/Basware Opportunity Snapshot,Forrester Consulting / Basware,2026-Q1,https://www.basware.com/en/resources/from-experimentation-to-execution-governed-autonomy-for-ai-in-accounts-payable,Operating-model gap,vendor_commissioned,flagged,
AP-034,AI in finance meeting or exceeding ROI expectations,71,percent,KPMG Global AI in Finance 2026,KPMG,2026-05,https://assets.kpmg.com/content/dam/kpmgsites/uk/pdf/2026/05/ai-in-finance-report.pdf,Exceeding expectations is 23% — do not collapse,independent_consulting,yes_with_nuance,
AP-035,Organisations reporting AI exceeding finance ROI expectations,23,percent,KPMG Global AI in Finance 2026,KPMG,2026-05,https://assets.kpmg.com/content/dam/kpmgsites/uk/pdf/2026/05/ai-in-finance-report.pdf,Narrower than 71% meet-or-exceed,independent_consulting,yes,
AP-036,Agentic AI associated with stronger finance metric performance,at least 32,percent,KPMG Global AI in Finance 2026,KPMG,2026-05,https://assets.kpmg.com/content/dam/kpmgsites/uk/pdf/2026/05/ai-in-finance-report.pdf,Survey association not a causal guarantee; stronger on forecast accuracy,independent_consulting,selective_as_association,
MKT-001,AP automation market size estimate 2026,6.94,USD billion,Accounts Payable Automation Market,Mordor Intelligence,2026,https://www.mordorintelligence.com/industry-reports/ap-automation-market,Estimator firm; 2031 $12.46B; 12.44% CAGR,market_estimator,no_as_gartner,Never label as Gartner
MKT-002,AP automation market size estimate 2025,3.4,USD billion,Accounts Payable Automation Market,Future Market Insights,2026,https://www.futuremarketinsights.com/reports/accounts-payable-automation-market,2026 $3.8B; 2036 $10.0B,market_estimator,no_as_single_truth,Conflicts with Mordor — show range only
MKT-003,AP automation market size estimate 2026 alt,6.4,USD billion,AP Automation Market Outlook 2026-2034,OG Analysis / Research and Markets,2026-04,https://www.researchandmarkets.com/reports/6242294/ap-automation-market-outlook-market-share,2034 $15.4B; 11.6% CAGR,market_estimator,no_as_single_truth,
MKT-004,Gartner defines AP applications market as cloud invoice+payments+master data,,,Magic Quadrant for Accounts Payable Applications G00814856,Gartner,2025-03-19,https://research.oz.spotlightar.com/reports/magic-quadrant-accounts-payable-applications-2025/market-definition,Market definition not a public TAM,independent_analyst,yes_definition_only,Do not invent a Gartner TAM
GOV-001,NIST names confabulation and prompt injection as generative AI risks,,,NIST AI 600-1 Generative AI Profile,NIST,2024,https://nvlpubs.nist.gov/nistpubs/ai/nist.ai.600-1.pdf,Includes direct and indirect prompt injection,statutory_guidance,yes_conceptual,
GOV-002,ISO/IEC 42001 Annex A provides AI management system control themes,,,ISO/IEC 42001 Annex A commentary,ISO / secondary explainers,2023-2024,https://www.isms.online/iso-42001/annex-a-controls/,Policy lifecycle data responsible use third parties,standard,yes_conceptual,Do not claim certification
GOV-003,Invoice text and attachments are untrusted input for payment agents,,,Industry analysis of agent payment manipulation,Eftsure / NHI commentary,2026,https://www.eftsure.com/blog/industry-news/can-your-ai-agents-be-manipulated-into-sending-money-to-the-wrong-place/,Indirect prompt injection via invoice notes,practitioner,yes_as_risk_pattern,Not a statistic
COM-001,Lemon Squeezy platform fee,5% + $0.50,per order,Lemon Squeezy Fees documentation,Lemon Squeezy,retrieved 2026-09-20,https://docs.lemonsqueezy.com/help/getting-started/fees,Fee on total order value,vendor_docs,internal,
COM-002,Lemon Squeezy international surcharge,1.5,percent,Lemon Squeezy Fees documentation,Lemon Squeezy,retrieved 2026-09-20,https://docs.lemonsqueezy.com/help/getting-started/fees,Outside US,vendor_docs,internal,
COM-003,Lemon Squeezy PayPal surcharge,1.5,percent,Lemon Squeezy Fees documentation,Lemon Squeezy,retrieved 2026-09-20,https://docs.lemonsqueezy.com/help/getting-started/fees,PayPal transactions,vendor_docs,internal,
COM-004,Lemon Squeezy is Merchant of Record for digital sales tax/VAT,,,Sales Tax and VAT docs,Lemon Squeezy,retrieved 2026-09-20,https://docs.lemonsqueezy.com/help/payments/sales-tax-vat,Seller may still owe income tax on payouts,vendor_docs,internal,Not legal advice
PRX-001,Directional mid-market AP automation ACV signals,18k-60k,USD per year,Secondary pricing aggregators 2026,VendorBenchmark / procurementaiagents / accountspayableautomationvendors,2026,multiple,Tipalti/Stampli-class directional; quote-based in market,secondary_aggregator,no,Do not present as official vendor price lists
PRX-002,Directional enterprise AP suite ACV signals,80k-500k+,USD per year,Secondary pricing aggregators 2026,VendorBenchmark / FinanceCopilotHQ,2026,multiple,Basware/Esker/HighRadius-class directional,secondary_aggregator,no,Evidence Room is not priced against these as a substitute
